<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>It’s possible to have a good life and be a failure, but you can’t have a good life and be a failure.<|endoftext|> 
<|showerthought|>A lot of people are probably going to die before they see the last person they will ever see.<|endoftext|> 
<|showerthought|>We're probably going to be able to see our own faces in 3D<|endoftext|> 
<|showerthought|>We probably haven't heard about the first ever person to die from a heart attack.<|endoftext|> 
<|showerthought|>There must have been a point in history when the average person was the youngest person alive.<|endoftext|> 
<|showerthought|>The reason why people hate the word “troll” is because they don’t know how to deal with it<|endoftext|> 
<|showerthought|>Most people would probably prefer to have a dog that is a mix between a human and a dog than a human and a dog.<|endoftext|> 
<|showerthought|>You have never seen your own face.<|endoftext|> 
<|showerthought|>There’s no way to tell if you’re the same age as a celebrity.<|endoftext|> 
<|showerthought|>The reason you don't hear about people dying in car crashes is because they don't have a car<|endoftext|> 
<|showerthought|>You could have the most expensive and most expensive car in the world, but you could have no idea if it's the most expensive and most expensive car in the world.<|endoftext|> 
<|showerthought|>Your favorite song is probably the one you've listened to the least.<|endoftext|> 
<|showerthought|>If it takes a lot more work to make a good product than a good person to do it, then the product is better than the person doing it.<|endoftext|> 
<|showerthought|>If the word "fart" is a fart then the word "pee" is a pee<|endoftext|> 
<|showerthought|>People in the future will be able to see the past and the present in the same way that we see the past and the present.<|endoftext|> 
<|showerthought|>We would know more about the past and present of our ancestors than our ancestors themselves<|endoftext|> 
<|showerthought|>It’s possible that the only way to get rid of the human race is to have the human race kill itself<|endoftext|> 
<|showerthought|>If you are a male and have a penis, then you are a man who is circumcised.<|endoftext|> 
<|showerthought|>If a lot of people are getting paid to be in a movie, that movie is a commercial<|endoftext|> 
<|showerthought|>It must suck to have a bad memory.<|endoftext|> 
<|showerthought|>The reason why people are scared of the dark is that the light is so bright that they can't see anything, but the dark is so dark that they can see everything.<|endoftext|> 
<|showerthought|>You know the world is fucked up when you don't know how to use a calculator<|endoftext|> 
<|showerthought|>There are probably people who have never heard of the song “I'm Gonna Leave You”<|endoftext|> 
<|showerthought|>The older the movie, the more it's a comedy, but if the movie is a comedy then it's a comedy<|endoftext|> 
<|showerthought|>You don’t have to be rich to be rich.<|endoftext|> 
<|showerthought|>It's funny how we can’t tell the difference between an empty room and a room with a lot of stuff in it<|endoftext|> 
<|showerthought|>It's weird how you can’t see your reflection in a mirror.<|endoftext|> 
<|showerthought|>We are all living in a world where people are more afraid of being murdered than being murdered<|endoftext|> 
<|showerthought|>When you put a lot of effort into a project, you’ll end up with a lot less.<|endoftext|> 
<|showerthought|>The average person is more likely to be the victim of a crime than the perpetrator.<|endoftext|> 
<|showerthought|>In some countries it is considered normal and acceptable for a woman to be in a relationship with a man, but in others it is considered weird and weird for a woman to be in a relationship with a man.<|endoftext|> 
<|showerthought|>Every person has a favorite colour.<|endoftext|> 
<|showerthought|>Every living thing on earth is a living organism.<|endoftext|> 
<|showerthought|>If you were born in the 90s and lived to be 120, you were probably the last person alive in the 90s<|endoftext|> 
<|showerthought|>If a person has a bad day, they’re either a good person or a bad person, but if a person has a good day, they’re either a good person or a bad person, but if a person has a bad day, they’re either a good person or a bad person.<|endoftext|> 
<|showerthought|>Since the average person can't see the difference between the color blue and red, we all are blue.<|endoftext|> 
<|showerthought|>There was probably an era where the average person didn't know what a car was<|endoftext|> 
<|showerthought|>You always think about how you’re going to die but never how you’re going to live.<|endoftext|> 
<|showerthought|>It’s possible for a person to have an orgasm without ever having had a boner<|endoftext|> 
<|showerthought|>If the sun was the only thing we know of, we would probably have no idea what it looks like.<|endoftext|> 
<|showerthought|>If you take your clothes off and put them back on you are wearing a bra and panties, but if you put your clothes back on and remove your bra and panties you are wearing nothing at all.<|endoftext|> 
<|showerthought|>The only way to know that someone is a good liar is to ask them a question<|endoftext|> 
<|showerthought|>There are probably more people who are alive in the future than in the present<|endoftext|> 
<|showerthought|>If the earth is round, then it's actually flat because it's a sphere<|endoftext|> 
<|showerthought|>The more you think of the past, the more you realize how much it changed<|endoftext|> 
<|showerthought|>Most people in the world are not in the top 5 percent of IQ, they're in the top 10 percent.<|endoftext|> 
<|showerthought|>If a vampire were to get a blood transfusion from a vampire, they would technically be a vampire for life.<|endoftext|> 
<|showerthought|>People have a tendency to be more concerned about the quality of their life when they are young.<|endoftext|> 
<|showerthought|>People have been dying for centuries, but we still haven't figured out what to do with them<|endoftext|> 
<|showerthought|>If a person is born with the same birthday as a famous person, then the person is famous<|endoftext|> 
<|showerthought|>You can be the smartest person in the world but if you don't have a sense of humor, it's just a bunch of jokes.<|endoftext|> 
<|showerthought|>In the future, we will be able to watch the past and see how we would have lived in the past.<|endoftext|> 
<|showerthought|>The more you learn about the universe the more you realise that it’s just a bunch of atoms and electrons and protons and neutrinos.<|endoftext|> 
<|showerthought|>If you want to be a good parent, you have to be a good person. If you want to be a good friend, you have to be a good person. If you want to be a good friend, you have to be a good person.<|endoftext|> 
